Date,Visitor,G,Home,G,,Att.,LOG,Notes
1995-02-09,Quebec Nordiques,4,Boston Bruins,3,,,,
1995-02-09,Mighty Ducks of Anaheim,1,Calgary Flames,5,,,,
1995-02-09,New York Rangers,1,New Jersey Devils,4,,,,
1995-02-09,Pittsburgh Penguins,5,New York Islanders,2,,,,
1995-02-09,Florida Panthers,3,Philadelphia Flyers,0,,,,
1995-02-09,Chicago Blackhawks,5,St. Louis Blues,0,,,,
1995-02-09,Winnipeg Jets,1,Vancouver Canucks,5,,,,
1995-02-10,Toronto Maple Leafs,2,Detroit Red Wings,1,,,,
1995-02-10,San Jose Sharks,1,Edmonton Oilers,5,,,,
1995-02-10,Hartford Whalers,3,Tampa Bay Lightning,4,,,,
1995-02-11,Washington Capitals,1,Boston Bruins,1,OT,,,
1995-02-11,Calgary Flames,6,Dallas Stars,0,,,,
1995-02-11,Hartford Whalers,3,Florida Panthers,4,,,,
1995-02-11,Philadelphia Flyers,3,New Jersey Devils,1,,,,
1995-02-11,Buffalo Sabres,1,New York Islanders,2,,,,
1995-02-11,Montreal Canadiens,1,Pittsburgh Penguins,3,,,,
1995-02-11,Ottawa Senators,2,Quebec Nordiques,5,,,,
1995-02-11,Winnipeg Jets,3,St. Louis Blues,2,,,,
1995-02-11,New York Rangers,3,Tampa Bay Lightning,2,,,,
1995-02-11,Los Angeles Kings,5,Toronto Maple Leafs,2,,,,
1995-02-11,San Jose Sharks,1,Vancouver Canucks,1,OT,,,
1995-02-12,Boston Bruins,2,Buffalo Sabres,1,,,,
1995-02-12,Los Angeles Kings,4,Detroit Red Wings,4,OT,,,
1995-02-12,Mighty Ducks of Anaheim,0,Edmonton Oilers,2,,,,
1995-02-12,New Jersey Devils,4,Florida Panthers,2,,,,
1995-02-13,Winnipeg Jets,7,Dallas Stars,4,,,,
1995-02-13,Hartford Whalers,2,Montreal Canadiens,2,OT,,,
1995-02-13,Washington Capitals,3,Philadelphia Flyers,5,,,,
1995-02-13,Calgary Flames,2,St. Louis Blues,4,,,,
1995-02-13,Chicago Blackhawks,2,Toronto Maple Leafs,4,,,,
1995-02-14,Quebec Nordiques,3,New York Islanders,2,,,,
1995-02-14,Boston Bruins,3,Pittsburgh Penguins,5,,,,
1995-02-14,Philadelphia Flyers,5,Tampa Bay Lightning,2,,,,
1995-02-15,New York Rangers,2,Buffalo Sabres,1,,,,
1995-02-15,Los Angeles Kings,3,Dallas Stars,1,,,,
1995-02-15,Ottawa Senators,0,Florida Panthers,2,,,,
1995-02-15,Montreal Canadiens,1,Hartford Whalers,4,,,,
1995-02-15,Washington Capitals,2,New Jersey Devils,4,,,,
1995-02-15,Vancouver Canucks,1,San Jose Sharks,3,,,,
1995-02-15,Edmonton Oilers,4,Toronto Maple Leafs,1,,,,
1995-02-15,Detroit Red Wings,5,Winnipeg Jets,1,,,,
1995-02-16,Calgary Flames,2,Chicago Blackhawks,2,OT,,,
1995-02-16,Montreal Canadiens,2,New York Rangers,2,OT,,,
1995-02-16,Quebec Nordiques,4,Philadelphia Flyers,2,,,,
